,city,created_at_format,total_debt_total
371,Тольятти,2021-08-03,1209.6
372,Санкт-Петербург,2021-08-04,1454.4
373,Тольятти,2021-08-04,1209.6
374,Тольятти,2021-08-06,1209.6
375,Москва,2021-08-07,2880.0
376,Санкт-Петербург,2021-08-07,1454.4
377,Тольятти,2021-08-07,1209.6
378,Москва,2021-08-08,2880.0
379,Санкт-Петербург,2021-08-08,1454.4
380,Тольятти,2021-08-08,1209.6
381,Москва,2021-08-09,1440.0
382,Тольятти,2021-08-10,1209.6
383,Москва,2021-08-11,1440.0
384,Санкт-Петербург,2021-08-11,1454.4
385,Тольятти,2021-08-12,1209.6
386,Тольятти,2021-08-13,1209.6
387,Тольятти,2021-08-14,1209.6
388,Тольятти,2021-08-15,1209.6
389,Москва,2021-08-16,3801.6
390,Москва,2021-08-17,2361.6
391,Санкт-Петербург,2021-08-17,2831.03
392,Тольятти,2021-08-17,1209.6
393,Санкт-Петербург,2021-08-18,1454.4
394,Тольятти,2021-08-18,1039.08
395,Москва,2021-08-19,3801.6
396,Санкт-Петербург,2021-08-19,1454.4
397,Москва,2021-08-20,2361.6
398,Санкт-Петербург,2021-08-20,1385.72
399,Москва,2021-08-21,2361.6
400,Москва,2021-08-22,2361.6
401,Москва,2021-08-23,2361.6
402,Москва,2021-08-24,2361.6
403,Москва,2021-08-25,2361.6
404,Москва,2021-08-27,2361.6
405,Москва,2021-08-28,2361.6
406,Москва,2021-08-29,2361.6
407,Москва,2021-08-30,2361.6
408,Тольятти,2021-08-30,1281.28
409,Москва,2021-08-31,2361.6
410,Тольятти,2021-08-31,2237.76
411,Тольятти,2021-09-01,1061.76
412,Москва,2021-09-02,2361.6
413,Москва,2021-09-03,2361.6
414,Самара,2021-09-03,1353.6
415,Москва,2021-09-04,2361.6
416,Самара,2021-09-04,1353.6
417,Москва,2021-09-05,3801.6
418,Москва,2021-09-06,2361.6
419,Самара,2021-09-06,1353.6
420,Москва,2021-09-07,2361.6
421,Самара,2021-09-07,1397.78
422,Москва,2021-09-08,2361.6
423,Самара,2021-09-08,1353.6
424,Москва,2021-09-09,2361.6
425,Самара,2021-09-09,1353.6
426,Москва,2021-09-10,5241.6
427,Самара,2021-09-10,1353.6
428,Москва,2021-09-11,4622.52
429,Самара,2021-09-11,1353.6
430,Москва,2021-09-12,1209.6
431,Самара,2021-09-12,1353.6
432,Санкт-Петербург,2021-09-12,2361.6
433,Москва,2021-09-13,1209.6
434,Самара,2021-09-13,1353.6
435,Москва,2021-09-14,4089.6
436,Тольятти,2021-09-14,1310.4
437,Москва,2021-09-15,4089.6
438,Тольятти,2021-09-15,1310.4
439,Москва,2021-09-16,4089.6
440,Тольятти,2021-09-16,1310.4
441,Москва,2021-09-17,1209.6
442,Тольятти,2021-09-17,1310.4
443,Москва,2021-09-18,4089.6
444,Тольятти,2021-09-18,1310.4
445,Москва,2021-09-19,2649.6
446,Тольятти,2021-09-19,1310.4
447,Москва,2021-09-20,1440.0
448,Москва,2021-09-21,2361.6
449,Москва,2021-09-22,2649.6
450,Тольятти,2021-09-22,1299.48
451,Москва,2021-09-23,1209.6
