,city,created_at_format,total_debt_total
601,Тольятти,2021-03-20,24017.98
602,Москва,2021-03-21,32401.0
603,Самара,2021-03-21,2505.6
604,Санкт-Петербург,2021-03-21,7676.4
605,Тольятти,2021-03-21,17236.8
606,Москва,2021-03-22,44129.8
607,Самара,2021-03-22,1252.8
608,Санкт-Петербург,2021-03-22,8027.41
609,Тольятти,2021-03-22,17024.28
610,Москва,2021-03-23,36721.0
611,Самара,2021-03-23,6264.0
612,Санкт-Петербург,2021-03-23,5817.6
613,Тольятти,2021-03-23,17136.91
614,Москва,2021-03-24,39602.64
615,Самара,2021-03-24,5026.86
616,Санкт-Петербург,2021-03-24,7273.01
617,Тольятти,2021-03-24,22075.2
618,Москва,2021-03-25,30126.8
619,Самара,2021-03-25,7516.8
620,Санкт-Петербург,2021-03-25,5817.6
621,Тольятти,2021-03-25,18456.84
622,Москва,2021-03-26,22159.8
623,Самара,2021-03-26,3761.2
624,Санкт-Петербург,2021-03-26,5818.61
625,Тольятти,2021-03-26,21804.72
626,Москва,2021-03-27,38518.2
627,Самара,2021-03-27,6264.0
628,Санкт-Петербург,2021-03-27,4365.58
629,Тольятти,2021-03-27,13508.11
630,Москва,2021-03-28,39999.8
631,Самара,2021-03-28,4996.8
632,Санкт-Петербург,2021-03-28,8726.4
633,Тольятти,2021-03-28,29429.54
634,Москва,2021-03-29,40631.2
635,Самара,2021-03-29,11275.2
636,Санкт-Петербург,2021-03-29,7272.0
637,Тольятти,2021-03-29,24504.0
638,Москва,2021-03-30,25406.6
639,Самара,2021-03-30,8770.47
640,Санкт-Петербург,2021-03-30,10490.69
641,Тольятти,2021-03-30,14513.52
642,Москва,2021-03-31,19441.0
643,Самара,2021-03-31,8769.6
644,Санкт-Петербург,2021-03-31,7272.0
645,Тольятти,2021-03-31,19761.0
646,Москва,2021-04-01,33831.0
647,Самара,2021-04-01,6264.0
648,Санкт-Петербург,2021-04-01,5817.6
649,Тольятти,2021-04-01,18449.27
650,Москва,2021-04-02,33625.0
651,Самара,2021-04-02,6264.0
652,Санкт-Петербург,2021-04-02,11088.0
653,Тольятти,2021-04-02,14356.93
654,Москва,2021-04-03,28598.4
655,Самара,2021-04-03,10009.74
656,Санкт-Петербург,2021-04-03,7829.2
