,reg_t_title_ru,use_of_the_mobile_app,COUNT(DISTINCT users_transactions_car_id)
624,Москва,2022-03-05,65
625,Москва,2022-03-06,66
626,Москва,2022-03-07,66
627,Москва,2022-03-08,66
628,Москва,2022-03-09,65
629,Москва,2022-03-10,68
630,Москва,2022-03-11,69
631,Москва,2022-03-12,71
632,Москва,2022-03-13,71
633,Москва,2022-03-14,64
634,Москва,2022-03-15,59
635,Москва,2022-03-16,59
636,Москва,2022-03-17,60
637,Москва,2022-03-18,63
638,Москва,2022-03-19,66
639,Москва,2022-03-20,66
640,Москва,2022-03-21,64
641,Москва,2022-03-22,63
642,Москва,2022-03-23,55
643,Москва,2022-03-24,59
644,Москва,2022-03-25,66
645,Москва,2022-03-26,63
646,Москва,2022-03-27,62
647,Москва,2022-03-28,53
648,Москва,2022-03-29,55
649,Москва,2022-03-30,53
650,Москва,2022-03-31,50
651,Москва,2022-04-01,42
652,Москва,2022-04-02,40
653,Москва,2022-04-03,39
654,Москва,2022-04-04,31
655,Москва,2022-04-05,23
656,Москва,2022-04-06,20
657,Москва,2022-04-07,21
658,Москва,2022-04-08,19
659,Москва,2022-04-09,17
660,Москва,2022-04-10,18
661,Москва,2022-04-11,16
662,Москва,2022-04-12,16
663,Москва,2022-04-13,14
664,Москва,2022-04-14,12
665,Москва,2022-04-15,12
666,Москва,2022-04-16,12
667,Москва,2022-04-17,12
668,Москва,2022-04-18,11
669,Москва,2022-04-19,12
670,Москва,2022-04-20,12
671,Москва,2022-04-21,12
672,Москва,2022-04-22,4
673,Самара,2020-09-28,2
674,Самара,2020-09-30,2
675,Самара,2020-10-01,2
676,Самара,2020-10-02,2
677,Самара,2020-10-03,2
678,Самара,2020-10-04,2
679,Самара,2020-10-05,2
680,Самара,2020-10-06,2
681,Самара,2020-10-07,2
682,Самара,2020-10-08,2
683,Самара,2020-10-09,2
684,Самара,2020-10-10,2
685,Самара,2020-10-11,2
686,Самара,2020-10-12,2
687,Самара,2020-10-13,2
688,Самара,2020-10-14,2
689,Самара,2020-10-15,1
690,Самара,2020-10-16,2
691,Самара,2020-10-17,2
692,Самара,2020-10-18,2
693,Самара,2020-10-19,2
694,Самара,2020-10-20,2
695,Самара,2020-10-21,2
696,Самара,2020-10-22,2
697,Самара,2020-10-23,2
698,Самара,2020-10-24,2
699,Самара,2020-10-25,2
